"","name","prob.m","prob.w"
"274","Nick",0.98,0.02
"275","Simone",0.67,0.33
"276","Carlo",0.98,0.02
"277","Florian",0.99,0.01
"278","Kathryn",0.01,0.99
"279","Roy",0.98,0.02
"280","Ulrich",0.98,0.02
"281","Alberto",0.99,0.01
"282","Andres",0.98,0.02
"283","Bernd",0.99,0.01
"284","Caroline",0.02,0.98
"285","Gerald",0.99,0.01
"286","Graeme",0.99,0.01
"287","Pamela",0.02,0.98
"288","Patrik",0.99,0.01
"289","Rainer",0.99,0.01
"290","Deborah",0.02,0.98
"291","Dora",0.04,0.96
"292","Irene",0.02,0.98
"293","Joanna",0.02,0.98
"294","Ken",0.98,0.02
"295","Robin",0.75,0.25
"296","Satoshi",0.99,0.01
"297","Susumu",0.98,0.02
"298","Charlotte",0.04,0.96
"299","Emmanuel",0.99,0.01
"300","Erin",0.04,0.96
"301","Harald",0.99,0.01
"302","Marcus",0.99,0.01
"303","Steve",0.99,0.01
"304","Susanne",0.01,0.99
"305","Alison",0.07,0.93
"306","Javier",0.99,0.01
"307","Makoto",0.95,0.05
"308","Hui",0.48,0.52
"309","Jochen",0.99,0.01
"310","Leonard",0.98,0.02
"311","Tao",0.87,0.13
"312","Gabriel",0.99,0.01
"313","Jacqueline",0.02,0.98
"314","Lei",0.59,0.41
"315","Leonardo",0.99,0.01
"316","Sabine",0.02,0.98
"317","Amanda",0.02,0.98
"318","Julien",0.98,0.02
"319","Melanie",0.02,0.98
"320","Teresa",0.02,0.98
"321","Yu",0.63,0.37
"322","Alessandro",0.99,0.01
"323","Antoine",0.99,0.01
"324","Christos",0.99,0.01
"325","Joachim",0.99,0.01
"326","Kai",0.9,0.1
"327","Kelly",0.12,0.88
"328","Kimberly",0.02,0.98
"329","Matteo",0.99,0.01
"330","Maurizio",0.99,0.01
"331","Michal",0.97,0.03
"332","Morgan",0.63,0.37
"333","Ryuta",0.99,0.01
"334","Diane",0.02,0.98
"335","Lynn",0.08,0.92
"336","Vince",0.98,0.02
"337","Gabriele",0.83,0.17
"338","Hannah",0.01,0.99
"339","Lauren",0.03,0.97
"340","Stanley",0.99,0.01
"341","Bernardo",0.99,0.01
"342","Francisco",0.99,0.01
"343","Gareth",0.99,0.01
"344","Theodore",0.98,0.02
"345","Eduardo",0.99,0.01
"346","Hitoshi",0.98,0.02
"347","Miriam",0.02,0.98
"348","Vladimir",0.99,0.01
"349","Bin",0.89,0.11
"350","Dinggang",-1,-1
"351","Jonas",0.99,0.01
"352","Kim",0.32,0.68
"353","Lee",0.82,0.18
"354","Axel",0.98,0.02
"355","Bart",0.99,0.01
"356","Carmen",0.02,0.98
"357","Ehud",1,0
"358","Gilles",0.99,0.01
"359","Heidi",0.02,0.98
"360","Istvan",0.99,0.01
"361","Katharina",0.02,0.98
"362","Rita",0.02,0.98
"363","Annette",0.02,0.98
"364","Atsushi",1,0
"365","Cheryl",0.02,0.98
"366","Guillaume",0.99,0.01
"367","Jerry",0.98,0.02
"368","Luke",0.99,0.01
"369","Sebastien",0.98,0.02
"370","Seth",0.99,0.01
"371","Volker",0.99,0.01
"372","Alfredo",0.99,0.01
"373","Dean",0.98,0.02
"374","Dietmar",0.99,0.01
"375","Dimitri",0.99,0.01
"376","Hong",0.47,0.53
"377","Isabel",0.02,0.98
"378","Nikos",0.99,0.01
"379","Patrizia",0.02,0.98
"380","Tracy",0.09,0.91
"381","Uwe",0.99,0.01
"382","Vadim",0.99,0.01
"383","Eugene",0.97,0.03
"384","Francis",0.94,0.0600000000000001
"385","Jordan",0.88,0.12
"386","Judith",0.02,0.98
"387","Ulrike",0.12,0.88
"388","Chiara",0.01,0.99
"389","Feng",0.81,0.19
"390","Gustavo",0.99,0.01
"391","Henrik",0.99,0.01
"392","Karel",0.96,0.04
"393","Kenji",0.98,0.02
"394","Nigel",0.99,0.01
"395","Denise",0.02,0.98
"396","Esther",0.02,0.98
"397","Etienne",0.97,0.03
"398","Gina",0.02,0.98
"399","Hiroyuki",1,0
"400","Kerry",0.25,0.75
"401","Lucia",0.02,0.98
"402","Nina",0.02,0.98
"403","Philipp",0.99,0.01
"404","Xavier",0.99,0.01
"405","Boris",0.99,0.01
"406","Cornelia",0.03,0.97
"407","Giuseppe",0.99,0.01
"408","Per",0.97,0.03
"409","Qi",0.63,0.37
"410","Ellen",0.01,0.99
"411","Heinz",0.98,0.02
"412","Jean-Claude",0.99,0.01
"413","Karin",0.03,0.97
