"","name","prob.m","prob.w"
"1726","Mehdi",0.98,0.02
"1727","Mel",0.21,0.79
"1728","Menno",0.99,0.01
"1729","Miklos",0.97,0.03
"1730","Murat",0.94,0.0600000000000001
"1731","Naoshige",0.75,0.25
"1732","Nitin",1,0
"1733","Noriko",0.04,0.96
"1734","Oded",0.99,0.01
"1735","Olle",0.95,0.05
"1736","Orly",0.46,0.54
"1737","Owen",0.98,0.02
"1738","Patric",0.98,0.02
"1739","Pier",0.97,0.03
"1740","Pramod",1,0
"1741","Reggie",0.93,0.07
"1742","Renaud",0.98,0.02
"1743","Rogier",0.99,0.01
"1744","Rory",0.86,0.14
"1745","Sachin",1,0
"1746","Sami",0.93,0.07
"1747","Seppo",0.99,0.01
"1748","Sergi",0.99,0.01
"1749","Shahin",0.92,0.08
"1750","Sheena",0.03,0.97
"1751","Siobhan",0.02,0.98
"1752","Smita",0.02,0.98
"1753","Sue",0.02,0.98
"1754","Talma",0.28,0.72
"1755","Taylor",0.45,0.55
"1756","Thanos",0.99,0.01
"1757","Toshiya",0.98,0.02
"1758","Vera",0.02,0.98
"1759","Wallace",0.98,0.02
"1760","Wilma",0.03,0.97
"1761","Xiaoxi",0.39,0.61
"1762","Young",-1,-1
"1763","Yuanyuan",0.1,0.9
"1764","Yuko",0.08,0.92
"1765","Zhengui",-1,-1
"1766","Zhi",0.79,0.21
"1767","Zhi-Qi",0.69,0.31
"1768","Zhiping",0.78,0.22
"1769","Zhizhong",1,0
"1770","Zhongming",1,0
"1771","Zu-Hang",0.24,0.76
"1772","Achim",0.99,0.01
"1773","Adolfo",0.99,0.01
"1774","Aina",0.18,0.82
"1775","Alexandros",0.99,0.01
"1776","Amiram",1,0
"1777","Arash",0.99,0.01
"1778","Arianna",0.02,0.98
"1779","Asif",0.99,0.01
"1780","Aude",0.04,0.96
"1781","Ayako",0.02,0.98
"1782","Ayelet",0.02,0.98
"1783","Babak",0.99,0.01
"1784","Balazs",0.97,0.03
"1785","Baruch",0.98,0.02
"1786","Beau",0.82,0.18
"1787","Bechara",1,0
"1788","Benedicte",0.03,0.97
"1789","Bijan",0.98,0.02
"1790","Brendan",0.99,0.01
"1791","Brittany",0.01,0.99
"1792","Carles",0.99,0.01
"1793","Clemens",0.99,0.01
"1794","Delphine",0.02,0.98
"1795","Donata",0.01,0.99
"1796","Eberhard",0.99,0.01
"1797","Edson",0.99,0.01
"1798","Eitan",0.99,0.01
"1799","Eleonora",0.01,0.99
"1800","Emad",0.98,0.02
"1801","Enrique",0.99,0.01
"1802","Eva-Maria",0.02,0.98
"1803","Falk",0.98,0.02
"1804","Fen-Biao",0.54,0.46
"1805","Ford",0.96,0.04
"1806","Franziska",0.02,0.98
"1807","Frauke",0.03,0.97
"1808","Freek",0.97,0.03
"1809","Fumiko",0.02,0.98
"1810","Gabe",0.97,0.03
"1811","Gavan",0.98,0.02
"1812","German",1,0
"1813","Gyula",0.99,0.01
"1814","Hakwan",0.75,0.25
"1815","Hannu",0.99,0.01
"1816","Hendrikje",0,1
"1817","Hirofumi",0.99,0.01
"1818","Hirotaka",1,0
"1819","Hui-Lin",0.2,0.8
"1820","Hynek",0.98,0.02
"1821","Ioannis",0.99,0.01
"1822","Jackie",0.16,0.84
"1823","Janaina",0.01,0.99
"1824","Jari",0.96,0.04
"1825","Jeannie",0.02,0.98
"1826","Jongho",1,0
"1827","Joris",0.98,0.02
"1828","Jos",0.94,0.0600000000000001
"1829","Judy",0.03,0.97
"1830","Juliette",0.03,0.97
"1831","Jussi",0.98,0.02
"1832","Kalina",0.04,0.96
"1833","Karolina",0.02,0.98
"1834","Kathy",0.02,0.98
"1835","Kazuo",0.99,0.01
"1836","Kelvin",0.99,0.01
"1837","Ken-ichi",1,0
"1838","Kimmo",0.98,0.02
"1839","Klas",0.97,0.03
"1840","Klaus-Peter",1,0
"1841","Kozo",0.95,0.05
"1842","Kun",0.79,0.21
"1843","Lance",0.99,0.01
"1844","Liane",0.02,0.98
"1845","Lidia",0.02,0.98
"1846","Line",0,1
"1847","Lora",0.07,0.93
"1848","Lucio",0.99,0.01
"1849","Mallar",0.85,0.15
"1850","Marcela",0.02,0.98
"1851","Marijn",0.7,0.3
"1852","Masako",0.02,0.98
"1853","Messoud",0.96,0.04
"1854","Michio",0.93,0.07
"1855","Mitul",0.96,0.04
"1856","Mona",0.04,0.96
"1857","Neeraj",0.98,0.02
"1858","Nenad",0.99,0.01
"1859","Noa",0.22,0.78
"1860","Osamu",0.99,0.01
"1861","Rajesh",1,0
"1862","Renee",0.05,0.95
"1863","Rodolfo",0.99,0.01
"1864","Rona",0.13,0.87
"1865","Rosario",0.64,0.36
"1866","Saad",0.97,0.03
"1867","Saleem",0.99,0.01
"1868","Sang-Hun",0.88,0.12
"1869","Shaun",0.98,0.02
"1870","Shihab",0.99,0.01
"1871","Shirley",0.02,0.98
"1872","Shiro",0.64,0.36
"1873","Shu",0.6,0.4
"1874","Solange",0.02,0.98
"1875","Soo",0.51,0.49
"1876","Stamatios",0.97,0.03
"1877","Takaaki",1,0
"1878","Therese",0.02,0.98
"1879","Tomoo",1,0
"1880","Toru",0.98,0.02
"1881","Tsutomu",1,0
"1882","Vijay",0.99,0.01
"1883","Wael",0.98,0.02
"1884","Weili",0.59,0.41
"1885","Wilson",0.98,0.02
"1886","Wolf-Dieter",1,0
"1887","Wyeth",0.72,0.28
"1888","Xiao-Ming",0.68,0.32
"1889","Yadong",0.88,0.12
"1890","Yasunori",0.99,0.01
"1891","Yasuyoshi",1,0
"1892","Yasuyuki",1,0
"1893","Yo",0.74,0.26
"1894","Yohei",0.99,0.01
"1895","Yoram",0.99,0.01
"1896","Yuriy",1,0
"1897","Zaira",0.02,0.98
"1898","Zhe",0.8,0.2
"1899","Aapo",1,0
"1900","Adan",0.97,0.03
"1901","Ajay",1,0
"1902","Akio",0.96,0.04
"1903","Alejandra",0.02,0.98
"1904","Aleksandra",0.03,0.97
"1905","Alessia",0.02,0.98
"1906","Alexa",0.05,0.95
"1907","Alicja",0.02,0.98
"1908","Amar",0.95,0.05
"1909","Amber",0.03,0.97
"1910","Atsuko",0.03,0.97
"1911","Aurelio",0.99,0.01
"1912","Baoji",0.75,0.25
"1913","Benno",0.99,0.01
"1914","Beverley",0.02,0.98
"1915","Bevil",1,0
"1916","Bianca",0.02,0.98
"1917","Catherina",0.02,0.98
"1918","Catie",0.01,0.99
"1919","Catriona",0.03,0.97
"1920","Chi",0.42,0.58
"1921","Chi-Bin",0.62,0.38
"1922","Clement",0.97,0.03
"1923","Conor",0.99,0.01
"1924","Cristian",0.99,0.01
"1925","Deanne",0.01,0.99
"1926","Dharshan",1,0
"1927","Dietrich",0.95,0.05
"1928","Doug",1,0
"1929","Duncan",0.99,0.01
"1930","Eduard",0.99,0.01
"1931","Elliott",0.97,0.03
"1932","Elodie",0.02,0.98
"1933","Emery",0.83,0.17
"1934","Eraldo",0.99,0.01
"1935","Eugenia",0.03,0.97
"1936","Ewald",0.99,0.01
"1937","Farah",0.08,0.92
"1938","Filip",0.98,0.02
"1939","Florent",0.98,0.02
"1940","Florin",0.98,0.02
"1941","Friedhelm",0.99,0.01
"1942","Frithjof",0.98,0.02
"1943","Gaetan",0.98,0.02
"1944","Garth",0.99,0.01
"1945","Gentaro",1,0
"1946","Ghislaine",0.03,0.97
"1947","Gianfranco",0.99,0.01
"1948","Gilad",1,0
"1949","Godfrey",0.99,0.01
"1950","Guilherme",0.99,0.01
"1951","Hakan",0.96,0.04
"1952","Harish",1,0
"1953","Helena",0.01,0.99
"1954","Hendrik",0.99,0.01
"1955","Hirokazu",1,0
"1956","Horacio",0.99,0.01
"1957","Huibert",1,0
"1958","Ikuo",1,0
"1959","Inah",0.12,0.88
"1960","Isao",0.99,0.01
"1961","Jean-Yves",0.99,0.01
"1962","Jen-Chuen",0.09,0.91
"1963","Jiang",0.67,0.33
"1964","Jiang-Fan",0.64,0.36
"1965","Jianren",-1,-1
"1966","Judit",0.01,0.99
"1967","June",0.2,0.8
"1968","Kafui",0.42,0.58
"1969","Kailash",0.99,0.01
"1970","Karyn",0.03,0.97
"1971","Katia",0.02,0.98
"1972","Kazim",0.97,0.03
"1973","Ki",0.69,0.31
"1974","Kiho",0.93,0.07
"1975","Kristian",0.96,0.04
"1976","Kuncheng",1,0
"1977","Kwangwook",1,0
"1978","Lan",0.25,0.75
"1979","Lea",0.04,0.96
"1980","Leonie",0.02,0.98
"1981","Lester",0.99,0.01
"1982","Liina",0.02,0.98
"1983","Ling",0.21,0.79
"1984","Liya",0.07,0.93
"1985","Lorenz",0.97,0.03
"1986","Lu-Yang",0.49,0.51
"1987","Lucie",0.02,0.98
"1988","Ludger",0.99,0.01
"1989","Lynette",0.02,0.98
"1990","MacDonald",0.98,0.02
"1991","Marie-Claude",0.02,0.98
"1992","Masami",0.55,0.45
"1993","Masaya",0.95,0.05
"1994","Matilde",0.03,0.97
"1995","May-Britt",0.05,0.95
"1996","Mazen",0.98,0.02
"1997","Megumi",0.05,0.95
"1998","Melina",0.04,0.96
"1999","Michihiro",1,0
"2000","Miho",0.12,0.88
"2001","Miki",0.75,0.25
"2002","Milan",0.98,0.02
"2003","Mirko",0.99,0.01
"2004","Misha",0.68,0.32
"2005","Noga",0.13,0.87
"2006","Nuno",0.99,0.01
"2007","Oren",0.96,0.04
"2008","Osvaldo",0.99,0.01
"2009","Oury",0.79,0.21
"2010","Polina",0.03,0.97
"2011","Pratik",1,0
"2012","Rahul",1,0
"2013","Ranjan",0.98,0.02
"2014","Rohini",0.0600000000000001,0.94
"2015","Rolf-Detlef",0.99,0.01
"2016","Romuald",0.98,0.02
"2017","Rosalyn",0.02,0.98
"2018","Rudolph",0.99,0.01
"2019","Rumyana",0.01,0.99
"2020","Ryo",0.97,0.03
"2021","Ryoichiro",1,0
"2022","Sachiko",0.02,0.98
"2023","Sameer",0.99,0.01
"2024","Sanne",0.04,0.96
"2025","Sarah-Jayne",0,1
"2026","Schahram",1,0
"2027","Sepideh",0.02,0.98
"2028","Sergey",1,0
"2029","Sherif",0.99,0.01
"2030","Shigeyoshi",1,0
"2031","Shilpa",0.01,0.99
"2032","Shinsuke",1,0
"2033","Shlomo",0.99,0.01
"2034","Simo",0.93,0.07
"2035","Slobodan",0.99,0.01
"2036","Sofia",0.02,0.98
"2037","Sonya",0.03,0.97
"2038","Srdjan",0.99,0.01
"2039","Subhojit",1,0
"2040","Takafumi",1,0
"2041","Takamitsu",1,0
"2042","Takuji",1,0
"2043","Taro",0.92,0.08
"2044","Terrance",0.98,0.02
"2045","Tian-Le",0.68,0.32
"2046","Tiina",0.03,0.97
"2047","Timm",0.98,0.02
"2048","Toemme",-1,-1
"2049","Torben",1,0
"2050","Tsuyoshi",0.99,0.01
"2051","Uhtaek",-1,-1
"2052","Ulman",1,0
"2053","Vikram",1,0
"2054","Willem",0.98,0.02
"2055","Won",0.86,0.14
"2056","Xiao-hui",0.51,0.49
"2057","Xiaodong",0.92,0.08
"2058","Xinzhong",0.75,0.25
"2059","Xun",0.78,0.22
"2060","Yalin",0.82,0.18
"2061","Yehezkel",1,0
"2062","Yoav",0.99,0.01
"2063","Yoland",0.57,0.43
"2064","Yoshihisa",1,0
"2065","Yoshitaka",1,0
"2066","Yoshiyuki",0.99,0.01
"2067","Yosuke",0.99,0.01
"2068","Ype",1,0
"2069","Zafar",0.99,0.01
"2070","Zhuan",0.75,0.25
"2071","Zhuo",0.75,0.25
"2072","Aki",0.72,0.28
"2073","Alana",0.02,0.98
"2074","Albrecht",0.97,0.03
"2075","Antje",0.02,0.98
"2076","Aravinthan",0.97,0.03
"2077","Aryn",0.2,0.8
"2078","Ashish",1,0
"2079","Athina",0.03,0.97
"2080","Barton",0.97,0.03
"2081","Bastian",0.99,0.01
"2082","Betty",0.02,0.98
"2083","Blaise",0.96,0.04
"2084","Boyer",0.6,0.4
"2085","Brooke",0.03,0.97
"2086","Cara",0.05,0.95
"2087","Carter",0.92,0.08
"2088","Chien-Ping",0.63,0.37
"2089","Ching-Po",0.54,0.46
"2090","Cinzia",0.02,0.98
"2091","Clarissa",0.01,0.99
"2092","Coleen",0.03,0.97
"2093","Colette",0.03,0.97
"2094","Cong",0.92,0.08
"2095","Cornelis",0.94,0.0600000000000001
"2096","Cristiano",0.99,0.01
"2097","Cristopher",0.99,0.01
"2098","Daichi",0.99,0.01
"2099","Domenica",0.04,0.96
"2100","Duygu",0.04,0.96
"2101","Edda",0.05,0.95
"2102","Edi",0.89,0.11
"2103","Eiichi",0.98,0.02
"2104","Elan",0.81,0.19
"2105","Elio",0.99,0.01
"2106","Ellis",0.63,0.37
"2107","Elsa",0.02,0.98
"2108","Eng",0.84,0.16
"2109","Enrica",0.02,0.98
"2110","Estelle",0.03,0.97
"2111","Filippo",0.99,0.01
"2112","Flint",0.93,0.07
"2113","FrA(C)dA(C)ric",-1,-1
"2114","Friedbert",1,0
"2115","Fumihito",1,0
"2116","Garry",0.98,0.02
"2117","Gernot",0.99,0.01
"2118","Gero",0.97,0.03
"2119","Gianmaria",0.99,0.01
"2120","Giselle",0.02,0.98
"2121","Glen",0.97,0.03
"2122","Gregoire",0.97,0.03
"2123","Guenther",0.99,0.01
"2124","Guosong",1,0
"2125","Gwendolyn",0.01,0.99
"2126","Haig",0.97,0.03
"2127","Hamutal",0.11,0.89
"2128","Harriet",0.04,0.96
"2129","Hartmut",0.99,0.01
"2130","Harunori",1,0
"2131","Henriette",0.02,0.98
"2132","Hideo",1,0
"2133","Hillary",0.32,0.68
"2134","Hisashi",0.99,0.01
"2135","Hongkeun",0.75,0.25
"2136","Hsiao-Huei",0.59,0.41
"2137","Huaxi",-1,-1
"2138","Hubertus",1,0
"2139","Hyder",0.98,0.02
"2140","Ida",0.03,0.97
"2141","Il",0.93,0.07
"2142","Ilias",0.99,0.01
"2143","Izhar",0.98,0.02
"2144","Janna",0.03,0.97
"2145","Janneke",0.02,0.98
"2146","Jean-Marie",0.98,0.02
"2147","Jean-Rene",1,0
"2148","Jens-Max",0.98,0.02
"2149","Jianguo",0.97,0.03
"2150","Jocelyn",0.29,0.71
"2151","Jonah",0.91,0.09
"2152","Jufang",-1,-1
"2153","Julietta",0.02,0.98
"2154","Kaspar",0.99,0.01
"2155","Katsuei",0.75,0.25
"2156","Kazuhisa",0.99,0.01
"2157","Kazunobu",1,0
"2158","Kazuto",0.99,0.01
"2159","Kendall",0.45,0.55
"2160","Khalid",0.98,0.02
"2161","Kiran",0.8,0.2
"2162","Ko",0.9,0.1
"2163","Kochuvelikakam",-1,-1
"2164","Kohei",1,0
"2165","Konstantin",0.99,0.01
"2166","Kristi",0.07,0.93
"2167","Krisztina",0.01,0.99
"2168","Kuei",0.86,0.14
"2169","Kuo-Fen",0.58,0.42
"2170","Lina",0.03,0.97
"2171","Liset",0.01,0.99
"2172","Ludovic",0.98,0.02
"2173","Magali",0.02,0.98
"2174","Maki",0.5,0.5
"2175","Malgorzata",0.02,0.98
"2176","Mari",0.0600000000000001,0.94
"2177","Marie-Laure",0.02,0.98
"2178","Mariella",0.02,0.98
"2179","Marwan",0.97,0.03
"2180","Masa-aki",0.73,0.27
"2181","Masatoshi",0.99,0.01
"2182","Mayank",1,0
"2183","Meenakshi",0.0600000000000001,0.94
"2184","Mehrdad",0.99,0.01
"2185","Mercedes",0.04,0.96
"2186","Minh",0.76,0.24
"2187","Miranda",0.05,0.95
"2188","Mitsuharu",1,0
"2189","Miwako",0.02,0.98
"2190","Moriah",0.05,0.95
"2191","Nephi",0.94,0.0600000000000001
"2192","Nikola",0.54,0.46
"2193","Nima",0.89,0.11
"2194","Nobuhiro",1,0
"2195","Notger",1,0
"2196","Pierluigi",0.99,0.01
"2197","Piotr",0.99,0.01
"2198","Prashanthi",0.02,0.98
"2199","Priyattam",1,0
"2200","Quan",0.93,0.07
"2201","Radoslaw",0.99,0.01
"2202","Raffaele",0.99,0.01
"2203","Raja",0.88,0.12
"2204","Rajeev",1,0
"2205","Rajendra",1,0
"2206","Ramin",0.98,0.02
"2207","Robyn",0.0600000000000001,0.94
"2208","Roozbeh",0.99,0.01
"2209","Rose",0,1
"2210","Rosemarie",0.02,0.98
"2211","Rosemary",0.02,0.98
"2212","Rowland",0.96,0.04
"2213","Ruud",0.99,0.01
"2214","Said",0.97,0.03
"2215","Samira",0.04,0.96
"2216","Saobo",-1,-1
"2217","Satu",0.14,0.86
"2218","Shaowen",0.67,0.33
"2219","Shigeki",1,0
"2220","Shing",0.76,0.24
"2221","Shlomit",0.03,0.97
"2222","Shuji",1,0
"2223","Shuo",0.75,0.25
"2224","Shuzo",1,0
"2225","Srikanth",1,0
"2226","Sumiko",0.03,0.97
"2227","Sunil",0.99,0.01
"2228","Tae",0.81,0.19
"2229","Tammy",0.04,0.96
"2230","Taosheng",-1,-1
"2231","Tilman",0.97,0.03
"2232","Tomohiro",1,0
"2233","Tomoko",0.02,0.98
"2234","Tonio",0.99,0.01
"2235","Torkel",0.96,0.04
"2236","Toshiaki",0.99,0.01
"2237","Trent",1,0
"2238","Van",0.62,0.38
"2239","Vijayalakshmi",0.01,0.99
"2240","Wai",0.78,0.22
"2241","Wei-Xing",0.73,0.27
"2242","Weihong",0.7,0.3
"2243","Wenqin",0.1,0.9
"2244","Wieland",0.95,0.05
"2245","Will",-1,-1
"2246","Winrich",1,0
"2247","Winston",0.98,0.02
"2248","Woo",0.84,0.16
"2249","Woong",0.99,0.01
"2250","Xia",0.36,0.64
"2251","Xiaofeng",0.78,0.22
"2252","Xiaowei",0.63,0.37
"2253","Xiaoying",0.1,0.9
"2254","Yali",0.29,0.71
"2255","Yasuto",1,0
"2256","Yimin",0.8,0.2
"2257","Yoshiko",0.0600000000000001,0.94
"2258","Yoshinori",1,0
"2259","Yoshiro",1,0
"2260","Yu-Ting",0.26,0.74
"2261","Yuka",0.07,0.93
"2262","Yukiyasu",1,0
"2263","Yuzo",0.96,0.04
"2264","Yvette",0.02,0.98
"2265","Zayd",0.96,0.04
"2266","Zhe-Yu",0.65,0.35
"2267","Zhenyu",0.94,0.0600000000000001
"2268","Zhifeng",0.97,0.03
"2269","Zhou-Feng",0.74,0.26
"2270","Ziv",0.93,0.07
"2271","Zsolt",1,0
"2272","Agata",0.02,0.98
"2273","Aileen",0.02,0.98
"2274","Akinori",0.99,0.01
"2275","Alec",0.89,0.11
"2276","Alexandru",0.99,0.01
"2277","Amelie",0.03,0.97
"2278","Anantha",0.88,0.12
"2279","AndrA(C)",-1,-1
"2280","Ann-Christine",0.01,0.99
"2281","Annabelle",0.03,0.97
"2282","Annamaria",0.02,0.98
"2283","Anne-Marie",0.02,0.98
"2284","Anu",0.25,0.75
"2285","Archana",0.02,0.98
"2286","Ariana",0.03,0.97
"2287","Arie",0.92,0.08
"2288","Arjan",0.98,0.02
"2289","Arjen",0.98,0.02
"2290","Arjun",1,0
"2291","Ary",0.69,0.31
"2292","Ashwin",0.99,0.01
"2293","Athanassios",1,0
"2294","Barak",0.98,0.02
"2295","Bartlett",0.72,0.28
"2296","Bernadette",0.0600000000000001,0.94
"2297","Bertram",0.98,0.02
"2298","Binhai",-1,-1
"2299","Boaz",0.99,0.01
"2300","Bram",0.99,0.01
"2301","Candice",0.02,0.98
"2302","Cenk",0.97,0.03
"2303","Chang",0.72,0.28
"2304","Cheng-Chang",1,0
"2305","Chi-Hung",0.92,0.08
"2306","Chia-Yi",0.3,0.7
"2307","Chichung",1,0
"2308","Christa",0.02,0.98
"2309","Christiaan",0.99,0.01
"2310","Chuan",0.81,0.19
"2311","Clinton",0.99,0.01
"2312","Clotilde",0.02,0.98
"2313","Colm",0.99,0.01
"2314","Constantino",0.99,0.01
"2315","Court",-1,-1
"2316","Dae-Shik",0.8,0.2
"2317","Dardo",0.97,0.03
"2318","Darrell",0.99,0.01
"2319","Dax",0.95,0.05
"2320","Delia",0.02,0.98
"2321","Dewen",0.82,0.18
"2322","Dina",0.04,0.96
"2323","Dmitriy",1,0
"2324","Domenico",0.99,0.01
"2325","Donatella",0.02,0.98
"2326","Doron",0.97,0.03
"2327","Edoardo",0.99,0.01
"2328","Efrat",0.09,0.91
"2329","Egill",1,0
"2330","Elina",0.05,0.95
"2331","Elisha",0.44,0.56
"2332","Elissa",0.03,0.97
"2333","Elzbieta",0.01,0.99
"2334","Emre",0.97,0.03
"2335","Enzo",0.99,0.01
"2336","Erno",1,0
"2337","Erwan",0.98,0.02
"2338","Fadel",0.97,0.03
"2339","Fraser",0.98,0.02
"2340","Fu-Ming",1,0
"2341","Fusao",1,0
"2342","Fuzheng",-1,-1
"2343","Gaia",0.03,0.97
"2344","Gaiti",0.75,0.25
"2345","Geert",0.98,0.02
"2346","Georgios",0.99,0.01
"2347","Gerardo",0.99,0.01
"2348","Ghazaleh",0.01,0.99
"2349","Gong",0.78,0.22
"2350","Gretchen",0.01,0.99
"2351","Guglielmo",0.99,0.01
"2352","Guus",0.97,0.03
"2353","Hai",0.84,0.16
"2354","Haline",0.02,0.98
"2355","Hans-Joachim",1,0
"2356","Hans-Jochen",1,0
"2357","Hansjoerg",0.97,0.03
"2358","Harris",0.97,0.03
"2359","Haruhiko",1,0
"2360","Hector",0.99,0.01
"2361","Hee",0.55,0.45
"2362","Helga",0.02,0.98
"2363","Hengyi",1,0
"2364","Henrike",0.45,0.55
"2365","Herta",0.05,0.95
"2366","Hidetoshi",0.99,0.01
"2367","Hilde",0.03,0.97
"2368","Hiromi",0.21,0.79
"2369","Hoi-Chung",0.72,0.28
"2370","Hongbo",0.83,0.17
"2371","Huafu",0.67,0.33
"2372","Huiling",0,1
"2373","Ikuko",0.01,0.99
"2374","Ila",0.2,0.8
"2375","Ilaria",0.01,0.99
"2376","Inbal",0.01,0.99
"2377","Ingeborg",0.01,0.99
"2378","Ione",0.23,0.77
"2379","Italo",0.99,0.01
"2380","Itamar",0.95,0.05
"2381","Itaru",1,0
"2382","Jackson",0.98,0.02
"2383","Jaclyn",0.01,0.99
"2384","Jaewon",0.88,0.12
"2385","Jamil",0.98,0.02
"2386","Jasmin",0.15,0.85
"2387","Jasna",0.02,0.98
"2388","Jeansok",-1,-1
"2389","Jee",0.6,0.4
"2390","Jes",0.43,0.57
"2391","Jillian",0.02,0.98
"2392","Jin-Moo",0.71,0.29
"2393","Joram",0.96,0.04
"2394","Ju",0.55,0.45
"2395","Judson",1,0
"2396","Jungsu",1,0
"2397","Junjie",0.95,0.05
"2398","Justine",0.07,0.93
"2399","Kaori",0.04,0.96
"2400","Karunesh",1,0
"2401","Ken-ichiro",1,0
"2402","Khaled",0.98,0.02
"2403","Kiyoshi",0.99,0.01
"2404","Kohji",0.97,0.03
"2405","Kouichi",0.99,0.01
"2406","Kwang",0.38,0.62
"2407","Kyoko",0.05,0.95
"2408","Leena",0.03,0.97
"2409","Leif",0.99,0.01
"2410","Leila",0.02,0.98
"2411","Leping",0.33,0.67
"2412","Lili",0.0600000000000001,0.94
"2413","Lilianne",0.01,0.99
"2414","Lizabeth",0.01,0.99
"2415","Louk",0.88,0.12
"2416","Lucina",0.02,0.98
"2417","Ludise",-1,-1
"2418","Ludwig",0.98,0.02
"2419","Madeleine",0.02,0.98
"2420","Mairead",0.03,0.97
"2421","Malin",0.05,0.95
"2422","Manisha",0.02,0.98
"2423","Manus",0.96,0.04
"2424","Marek",0.99,0.01
"2425","Marianna",0.02,0.98
"2426","Marie-Louise",0.02,0.98
"2427","Marie-Pierre",0.02,0.98
"2428","Marjo",0.12,0.88
"2429","Marleen",0.01,0.99
"2430","Marsel",0.95,0.05
"2431","Maxwell",0.98,0.02
"2432","Mayumi",0.03,0.97
"2433","Meike",0.04,0.96
"2434","Mengsheng",-1,-1
"2435","Michale",0.85,0.15
"2436","Mickael",0.98,0.02
"2437","Mikio",0.96,0.04
"2438","Milton",0.99,0.01
"2439","Mimi",0.12,0.88
"2440","Ming-Chang",1,0
"2441","Minghong",0.79,0.21
"2442","Minghui",0.61,0.39
"2443","Miquel",0.98,0.02
"2444","Mitsuru",0.95,0.05
"2445","Morgane",0.04,0.96
"2446","Muhammad",0.99,0.01
"2447","Murali",1,0
"2448","Mustapha",0.98,0.02
"2449","Naama",0.09,0.91
"2450","Nachum",0.97,0.03
"2451","Nada",0.0600000000000001,0.94
"2452","Naweed",0.98,0.02
"2453","Nibaldo",1,0
"2454","Nienke",0.02,0.98
"2455","Nikita",0.41,0.59
"2456","Niraj",0.99,0.01
"2457","Noelle",0.03,0.97
"2458","Odile",0.02,0.98
"2459","Olli",0.96,0.04
"2460","Onur",0.97,0.03
"2461","Oskar",0.99,0.01
"2462","Pauline",0.04,0.96
"2463","Pawel",0.99,0.01
"2464","Petr",0.98,0.02
"2465","Preeti",0.02,0.98
"2466","Psyche",0.17,0.83
"2467","Qian-Quan",0.75,0.25
"2468","Qun",0.56,0.44
"2469","Radhika",0.03,0.97
"2470","Rafal",0.99,0.01
"2471","Randolf",0.98,0.02
"2472","Rebekah",0.01,0.99
"2473","Redmond",0.94,0.0600000000000001
"2474","Reiko",0.2,0.8
"2475","Rejean",0.81,0.19
"2476","Renato",0.99,0.01
"2477","Rhodri",0.99,0.01
"2478","Rhonda",0.01,0.99
"2479","Rikkert",1,0
"2480","Riqiang",-1,-1
"2481","Rosalie",0.02,0.98
"2482","Rossella",0.02,0.98
"2483","Roustem",1,0
"2484","Ruey-Song",0.74,0.26
"2485","Ryuji",0.99,0.01
"2486","Sanja",0.08,0.92
"2487","Sarina",0.03,0.97
"2488","Sen",0.69,0.31
"2489","Seong-Seng",0.82,0.18
"2490","Sha",0.45,0.55
"2491","Shernaz",0,1
"2492","Sheryl",0.02,0.98
"2493","Shigeyuki",1,0
"2494","Shuxin",0.53,0.47
"2495","Siegfried",0.99,0.01
"2496","Sridhar",1,0
"2497","Subhash",0.99,0.01
"2498","Suk-Ho",0.77,0.23
"2499","Suliann",0.75,0.25
"2500","Svenja",0.02,0.98
"2501","Swati",0.02,0.98
"2502","Syed",0.98,0.02
"2503","Taisuke",1,0
"2504","Takuma",0.99,0.01
"2505","Tetsuo",0.99,0.01
"2506","Tian",0.69,0.31
"2507","Timo",0.99,0.01
"2508","Tiziana",0.02,0.98
"2509","Tohru",0.89,0.11
"2510","Toshihiro",1,0
"2511","Toshikatsu",1,0
"2512","Tuan",0.98,0.02
"2513","Tzvetan",1,0
"2514","Usha",0.04,0.96
"2515","Valery",0.57,0.43
"2516","Valina",0.07,0.93
"2517","Venkata",0.94,0.0600000000000001
"2518","Vicente",0.99,0.01
"2519","Vicki",0.04,0.96
"2520","Ville",0.97,0.03
"2521","Vishnu",0.97,0.03
"2522","Vladislav",0.99,0.01
"2523","Volodymyr",1,0
"2524","Wen-Yih",1,0
"2525","Wensheng",0.97,0.03
"2526","Winfried",0.99,0.01
"2527","Xiaobing",0.81,0.19
"2528","Xiaojing",0.16,0.84
"2529","Yair",0.99,0.01
"2530","Yanhua",0.23,0.77
"2531","Yasser",0.98,0.02
"2532","Yi-Ping",0.41,0.59
"2533","Yifat",0.04,0.96
"2534","Yina",0.03,0.97
"2535","Yung-Yang",0.71,0.29
"2536","Yuval",0.9,0.1
"2537","Zach",1,0
"2538","Zaven",0.99,0.01
"2539","Zizhen",0.43,0.57
"2540","Adina",0.03,0.97
"2541","Adriaan",0.97,0.03
"2542","Adrianne",0.05,0.95
"2543","Ahmet",0.94,0.0600000000000001
"2544","Aihua",0.15,0.85
"2545","Akaysha",0,1
"2546","Alaa",0.85,0.15
"2547","Alban",0.97,0.03
"2548","Albena",0.03,0.97
"2549","Aleksander",0.99,0.01
"2550","Almut",0.1,0.9
"2551","An",0.48,0.52
"2552","Anderson",0.99,0.01
"2553","Andrzej",0.99,0.01
"2554","Anette",0.01,0.99
"2555","Anitha",0.02,0.98
